id,jobFilingNumber,borough,house_number,street_name,address,zip_code,job_type,permit_status,filing_date,issuance_date,job_description,estimated_job_costs,owner_name,owner_business_name,applicant_business_name,applicant_license,latitude,longitude,community_board,council_district,census_tract,nta,source
dob-now-S01364212-I1,S01364212-I1,STATEN ISLAND,1231,WOODROW ROAD,1231 WOODROW ROAD,07731,Alteration,Permit Entire,2026-04-07T04:00:00.000Z,2026-04-09T23:13:13.000Z,Other | Roof,85545,NELLO DEVELOPMENT CORP,NELLO DEVELOPMENT CORP,NELLO DEVELOPMENT CORP,035290,40.541888,-74.205952,503,51,20806,Arden Heights-Rossville,NYC DOB NOW Build Job Application Filings
dob-now-S01377575-I1,S01377575-I1,STATEN ISLAND,1239,FOREST HILL ROAD,1239 FOREST HILL ROAD,07731,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-09T19:09:16.000Z,Other | Roof,21950,ESL Properties LLC,ESL Properties LLC,ESL Properties LLC,035290,40.588771,-74.1458,502,50,27302,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,NYC DOB NOW Build Job Application Filings
dob-now-M01377272-S1,M01377272-S1,MANHATTAN,125,WATTS STREET,125 WATTS STREET,11216,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-09T23:20:19.000Z,Other | Floor Number(s) 3 through 3,15000,Orsid Realty Corp,Orsid Realty Corp,Orsid Realty Corp,033924,40.723486,-74.009514,101,01,39,Tribeca-Civic Center,NYC DOB NOW Build Job Application Filings
dob-now-M01377272-I1,M01377272-I1,MANHATTAN,125,WATTS STREET,125 WATTS STREET,11216,Alteration,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-09T23:20:04.000Z,Other | Floor Number(s) 3 through 3,176400,Orsid Realty Corp,Orsid Realty Corp,Orsid Realty Corp,033924,40.723486,-74.009514,101,01,39,Tribeca-Civic Center,NYC DOB NOW Build Job Application Filings
dob-now-M01363913-S3,M01363913-S3,MANHATTAN,125,WEST   15 STREET,125 WEST   15 STREET,10017,Alteration CO,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-09T03:04:10.000Z,"2 Family | Basement/Sub-basement, Cellar, Floor Number(s) 1 through 3",60549.75,Furnival LLC,Furnival LLC,Furnival LLC,096997,40.738486,-73.997366,104,03,81,Chelsea-Hudson Yards,NYC DOB NOW Build Job Application Filings
dob-now-M01371067-S3,M01371067-S3,MANHATTAN,125,WEST   57 STREET,125 WEST   57 STREET,10119,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-09T16:25:12.000Z,Other | Floor Number(s) 19 through 19,37050,PR,PR,PR,062597,40.764727,-73.978142,105,06,137,Midtown-Times Square,NYC DOB NOW Build Job Application Filings
dob-now-Q00989633-P1,Q00989633-P1,QUEENS,125-09,101 AVENUE,125-09 101 AVENUE,11435,Alteration CO,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-10T20:50:54.000Z,Other,58860,THIND BUILDERS NY INC,THIND BUILDERS NY INC,THIND BUILDERS NY INC,080350,40.691455,-73.820743,409,29,154,South Richmond Hill,NYC DOB NOW Build Job Application Filings
dob-now-Q00989961-P1,Q00989961-P1,QUEENS,125-11,101 AVENUE,125-11 101 AVENUE,11435,Alteration CO,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-10T20:48:36.000Z,Other,58860,THIND BUILDERS NY INC,THIND BUILDERS NY INC,THIND BUILDERS NY INC,080350,40.691458,-73.820732,409,29,154,South Richmond Hill,NYC DOB NOW Build Job Application Filings
dob-now-Q01382066-I1,Q01382066-I1,QUEENS,125-12,89 AVENUE,125-12 89 AVENUE,11358,Alteration,Approved,2026-04-07T04:00:00.000Z,2026-04-08T15:58:07.000Z,Other | Floor Number(s) 001 through 001,5000,LAKSHMI LLC,LAKSHMI LLC,LAKSHMI LLC,026846,40.69875,-73.823767,409,29,14202,Richmond Hill,NYC DOB NOW Build Job Application Filings
dob-now-M00871980-P3,M00871980-P3,MANHATTAN,127,EAST   91 STREET,127 EAST   91 STREET,11215,Alteration CO,Plan Examiner Review,2026-04-07T04:00:00.000Z,2026-04-14T18:35:07.000Z,1 Family,773440,PENELOPE 91 LLC,PENELOPE 91 LLC,PENELOPE 91 LLC,038683,40.782959,-73.953895,108,05,15801,Upper East Side-Carnegie Hill,NYC DOB NOW Build Job Application Filings
